"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent","staybias","leavebias","win","lose","SelfPrev"
"wsls_agent",0,"random_agent",1,160,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,161,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,162,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,163,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,164,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,165,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,166,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,167,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,168,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,169,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,170,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,171,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,172,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,173,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,174,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,175,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,176,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,177,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,178,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,179,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,180,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,181,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,182,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,183,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,184,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,185,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,186,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,187,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,188,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,189,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,190,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,191,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,192,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,193,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,194,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,195,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,196,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,197,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,198,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,199,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,200,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,201,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,202,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,203,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,204,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,205,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,206,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,207,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,208,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,209,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,210,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,211,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,212,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,213,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,214,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,215,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,216,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,217,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,218,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,219,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,220,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,221,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,222,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,223,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,224,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,225,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,226,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,227,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,228,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,229,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,230,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,231,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,232,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,233,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,234,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,235,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,236,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,237,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,238,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,239,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,240,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,241,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,242,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,243,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,244,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,245,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,246,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,247,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,248,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,249,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,250,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,251,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,252,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,253,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,254,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,255,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,256,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,257,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,258,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,259,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,260,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,261,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,262,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,263,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,264,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,265,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,266,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,267,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,268,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,269,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,270,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,271,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,272,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,273,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,274,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,275,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,276,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,277,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,278,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,279,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,280,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,281,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,282,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,283,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,284,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,285,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,286,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,287,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,288,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,289,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,290,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,291,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,292,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,293,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,294,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,295,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,296,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,297,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,298,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,299,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,300,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,301,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,302,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,303,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,304,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,305,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,306,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,307,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,308,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,309,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,310,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,311,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,312,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,313,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,314,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,315,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,316,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,317,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,318,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,319,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,320,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,321,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,322,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,323,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,324,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,325,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,326,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,327,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,328,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,329,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,330,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,331,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,332,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,333,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,334,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,335,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,336,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,337,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,338,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,339,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,340,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,341,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,342,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,343,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,344,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,345,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,346,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,347,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,348,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,349,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,350,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,351,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,352,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,353,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,354,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,355,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,356,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,357,0,1,0.5,0.5,0,1,0
