"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"wsls_agent",1,"random_agent",1,12,1,3
"wsls_agent",1,"random_agent",0,13,0,3
"wsls_agent",0,"random_agent",1,14,0,3
"wsls_agent",1,"random_agent",1,15,1,3
"wsls_agent",0,"random_agent",0,16,1,3
"wsls_agent",0,"random_agent",1,17,0,3
"wsls_agent",1,"random_agent",1,18,1,3
"wsls_agent",1,"random_agent",1,19,1,3
"wsls_agent",0,"random_agent",1,20,0,3
"wsls_agent",1,"random_agent",0,21,0,3
"wsls_agent",0,"random_agent",1,22,0,3
"wsls_agent",1,"random_agent",0,23,0,3
"wsls_agent",0,"random_agent",1,24,0,3
"wsls_agent",1,"random_agent",1,25,1,3
"wsls_agent",1,"random_agent",0,26,0,3
"wsls_agent",0,"random_agent",0,27,1,3
"wsls_agent",0,"random_agent",1,28,0,3
"wsls_agent",1,"random_agent",0,29,0,3
"wsls_agent",0,"random_agent",1,30,0,3
"wsls_agent",1,"random_agent",0,31,0,3
"wsls_agent",0,"random_agent",0,32,1,3
"wsls_agent",0,"random_agent",0,33,1,3
"wsls_agent",0,"random_agent",0,34,1,3
"wsls_agent",0,"random_agent",1,35,0,3
"wsls_agent",0,"random_agent",1,36,0,3
"wsls_agent",1,"random_agent",0,37,0,3
"wsls_agent",0,"random_agent",0,38,1,3
"wsls_agent",0,"random_agent",0,39,1,3
"wsls_agent",0,"random_agent",1,40,0,3
"wsls_agent",1,"random_agent",1,41,1,3
"wsls_agent",0,"random_agent",1,42,0,3
"wsls_agent",1,"random_agent",0,43,0,3
"wsls_agent",0,"random_agent",1,44,0,3
"wsls_agent",1,"random_agent",1,45,1,3
"wsls_agent",0,"random_agent",1,46,0,3
"wsls_agent",0,"random_agent",1,47,0,3
"wsls_agent",1,"random_agent",0,48,0,3
"wsls_agent",0,"random_agent",0,49,1,3
"wsls_agent",0,"random_agent",0,50,1,3
"wsls_agent",0,"random_agent",1,51,0,3
"wsls_agent",1,"random_agent",0,52,0,3
"wsls_agent",0,"random_agent",0,53,1,3
"wsls_agent",0,"random_agent",0,54,1,3
"wsls_agent",0,"random_agent",0,55,1,3
"wsls_agent",0,"random_agent",1,56,0,3
"wsls_agent",1,"random_agent",0,57,0,3
"wsls_agent",0,"random_agent",0,58,1,3
"wsls_agent",0,"random_agent",0,59,1,3
"wsls_agent",0,"random_agent",0,60,1,3
"wsls_agent",0,"random_agent",1,61,0,3
"wsls_agent",1,"random_agent",1,62,1,3
"wsls_agent",0,"random_agent",0,63,1,3
"wsls_agent",0,"random_agent",0,64,1,3
"wsls_agent",0,"random_agent",0,65,1,3
"wsls_agent",0,"random_agent",0,66,1,3
"wsls_agent",0,"random_agent",1,67,0,3
"wsls_agent",1,"random_agent",1,68,1,3
"wsls_agent",1,"random_agent",0,69,0,3
"wsls_agent",0,"random_agent",0,70,1,3
"wsls_agent",0,"random_agent",1,71,0,3
"wsls_agent",1,"random_agent",0,72,0,3
"wsls_agent",0,"random_agent",1,73,0,3
"wsls_agent",1,"random_agent",0,74,0,3
"wsls_agent",0,"random_agent",1,75,0,3
"wsls_agent",1,"random_agent",1,76,1,3
"wsls_agent",1,"random_agent",1,77,1,3
"wsls_agent",1,"random_agent",1,78,1,3
"wsls_agent",0,"random_agent",1,79,0,3
"wsls_agent",0,"random_agent",0,80,1,3
"wsls_agent",0,"random_agent",0,81,1,3
"wsls_agent",0,"random_agent",0,82,1,3
"wsls_agent",0,"random_agent",0,83,1,3
"wsls_agent",0,"random_agent",0,84,1,3
"wsls_agent",0,"random_agent",1,85,0,3
"wsls_agent",0,"random_agent",1,86,0,3
"wsls_agent",1,"random_agent",1,87,1,3
"wsls_agent",0,"random_agent",1,88,0,3
"wsls_agent",1,"random_agent",0,89,0,3
"wsls_agent",0,"random_agent",1,90,0,3
"wsls_agent",1,"random_agent",1,91,1,3
"wsls_agent",1,"random_agent",1,92,1,3
"wsls_agent",0,"random_agent",1,93,0,3
"wsls_agent",1,"random_agent",1,94,1,3
