TimeStamp,ID,Participant,Booking_system,Item,Score,ScoreN,Component
2/4/2022 11:57:54,ACM,Participant,Cinemaxx,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 11:58:20,SK95,Participant,Cinemaxx,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 12:00:33,Tammy,Anthropologist,Cinemaxx,Enhance_Effectiveness,Neither agree nor disagree,4,Percieved Usefulness
2/4/2022 12:01:10,AL,Participant,Cinemaxx,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 12:05:24,cocio91,Anthropologist,NFB,Enhance_Effectiveness,Slightly agree,5,Percieved Usefulness
2/4/2022 12:06:55,cocio91,Anthropologist,Cinemaxx,Enhance_Effectiveness,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:41:17,201805308,Participant,NFB,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:42:28,TRS,Participant,NFB,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:43:10,201805308,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:44:52,2020,Participant,NFB,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:45:49,Athen,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:46:01,Jakob,Participant,NFB,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:47:14,TRS,Participant,Cinemaxx,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:47:17,stine,Participant,NFB,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:47:18,QWERTY1001,Participant,NFB,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:48:00,240696xxxxx,Participant,NFB,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:48:04,anja220,Participant,Cinemaxx,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:48:13,AL,Participant,NFB,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:48:26,8888,Participant,NFB,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:48:36,2020,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:50:32,anja220,Participant,NFB,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:50:37,Athen,Participant,NFB,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:50:57,gamer,Participant,NFB,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:52:05,Melina,Participant,Cinemaxx,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:52:16,Jakob,Participant,Cinemaxx,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:52:34,stine,Participant,Cinemaxx,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:52:39,KK,Anthropologist,NFB,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:52:58,ACM,Anthropologist,NFB,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:54:36,704314,Participant,NFB,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:54:37,SK95,Participant,NFB,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:29,gHoStFaCeKiLlEr,Anthropologist,Cinemaxx,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:55:32,240696xxxx,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:34,8888,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:43,QWERTY1001,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:56:18,gamer,Participant,Cinemaxx,Easy,Disagree,2,Percieved Usefulness
2/4/2022 11:56:21,gHoStFaCeKiLlEr,Anthropologist,NFB,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:56:34,Melina,Participant,NFB,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:56:43,KK,Anthropologist,Cinemaxx,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 11:56:50,704314,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:57:54,ACM,Participant,Cinemaxx,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:58:20,SK95,Participant,Cinemaxx,Easy,Strongly Agree,7,Percieved Usefulness
