"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"bias_detector_agent",1,"wsls_agent",1,64,1,2
"bias_detector_agent",1,"wsls_agent",0,65,0,2
"bias_detector_agent",1,"wsls_agent",1,66,1,2
"bias_detector_agent",1,"wsls_agent",0,67,0,2
"bias_detector_agent",1,"wsls_agent",1,68,1,2
"bias_detector_agent",1,"wsls_agent",0,69,0,2
"bias_detector_agent",0,"wsls_agent",1,70,0,2
"bias_detector_agent",1,"wsls_agent",0,71,0,2
"bias_detector_agent",1,"wsls_agent",1,72,1,2
"bias_detector_agent",1,"wsls_agent",0,73,0,2
"bias_detector_agent",1,"wsls_agent",1,74,1,2
"bias_detector_agent",1,"wsls_agent",0,75,0,2
"bias_detector_agent",1,"wsls_agent",1,76,1,2
"bias_detector_agent",0,"wsls_agent",0,77,1,2
"bias_detector_agent",0,"wsls_agent",1,78,0,2
"bias_detector_agent",1,"wsls_agent",0,79,0,2
"bias_detector_agent",1,"wsls_agent",1,80,1,2
"bias_detector_agent",1,"wsls_agent",0,81,0,2
"bias_detector_agent",1,"wsls_agent",1,82,1,2
"bias_detector_agent",1,"wsls_agent",0,83,0,2
"bias_detector_agent",1,"wsls_agent",1,84,1,2
"bias_detector_agent",1,"wsls_agent",0,85,0,2
"bias_detector_agent",1,"wsls_agent",1,86,1,2
"bias_detector_agent",1,"wsls_agent",0,87,0,2
"bias_detector_agent",1,"wsls_agent",1,88,1,2
"bias_detector_agent",1,"wsls_agent",0,89,0,2
"bias_detector_agent",1,"wsls_agent",1,90,1,2
"bias_detector_agent",1,"wsls_agent",0,91,0,2
"bias_detector_agent",1,"wsls_agent",1,92,1,2
"bias_detector_agent",1,"wsls_agent",1,93,1,2
"bias_detector_agent",1,"wsls_agent",0,94,0,2
"bias_detector_agent",1,"wsls_agent",1,95,1,2
"bias_detector_agent",1,"wsls_agent",0,96,0,2
"bias_detector_agent",1,"wsls_agent",1,97,1,2
"bias_detector_agent",1,"wsls_agent",0,98,0,2
"bias_detector_agent",1,"wsls_agent",1,99,1,2
"bias_detector_agent",1,"wsls_agent",0,100,0,2
"bias_detector_agent",1,"wsls_agent",1,101,1,2
"bias_detector_agent",1,"wsls_agent",0,102,0,2
"bias_detector_agent",1,"wsls_agent",1,103,1,2
"bias_detector_agent",1,"wsls_agent",0,104,0,2
"bias_detector_agent",1,"wsls_agent",0,105,0,2
"bias_detector_agent",0,"wsls_agent",1,106,0,2
"bias_detector_agent",1,"wsls_agent",0,107,0,2
"bias_detector_agent",0,"wsls_agent",1,108,0,2
"bias_detector_agent",1,"wsls_agent",0,109,0,2
"bias_detector_agent",0,"wsls_agent",1,110,0,2
"bias_detector_agent",1,"wsls_agent",0,111,0,2
"bias_detector_agent",0,"wsls_agent",1,112,0,2
"bias_detector_agent",1,"wsls_agent",0,113,0,2
"bias_detector_agent",0,"wsls_agent",1,114,0,2
"bias_detector_agent",1,"wsls_agent",0,115,0,2
"bias_detector_agent",1,"wsls_agent",1,116,1,2
"bias_detector_agent",1,"wsls_agent",0,117,0,2
"bias_detector_agent",1,"wsls_agent",1,118,1,2
"bias_detector_agent",0,"wsls_agent",0,119,1,2
"bias_detector_agent",1,"wsls_agent",1,120,1,2
"bias_detector_agent",1,"wsls_agent",1,1,1,3
"bias_detector_agent",1,"wsls_agent",0,2,0,3
"bias_detector_agent",1,"wsls_agent",1,3,1,3
"bias_detector_agent",0,"wsls_agent",0,4,1,3
"bias_detector_agent",1,"wsls_agent",1,5,1,3
"bias_detector_agent",1,"wsls_agent",0,6,0,3
"bias_detector_agent",1,"wsls_agent",1,7,1,3
"bias_detector_agent",1,"wsls_agent",0,8,0,3
"bias_detector_agent",1,"wsls_agent",1,9,1,3
"bias_detector_agent",1,"wsls_agent",0,10,0,3
"bias_detector_agent",1,"wsls_agent",1,11,1,3
"bias_detector_agent",1,"wsls_agent",0,12,0,3
"bias_detector_agent",1,"wsls_agent",1,13,1,3
"bias_detector_agent",1,"wsls_agent",1,14,1,3
"bias_detector_agent",1,"wsls_agent",0,15,0,3
