ID,FaceID,Trial_Round1,FirstRating,OtherRating,Trial_Round2,SecondRating,Feedback,Change,Class
13,53,113,6,8,213,7,2,1,1
13,54,16,4,6,26,3,2,-1,1
13,55,126,6,3,226,7,-3,1,1
13,56,151,7,4,251,7,-3,0,1
13,57,134,6,6,234,4,0,-2,1
13,58,110,4,2,210,4,-2,0,1
13,59,117,7,0,217,6,-7,-1,1
13,6,170,3,3,270,3,0,0,1
13,60,135,7,5,235,6,-2,-1,1
13,61,156,3,3,256,3,0,0,1
13,62,111,4,6,211,4,2,0,1
13,63,153,8,6,253,7,-2,-1,1
13,64,159,7,5,259,6,-2,-1,1
13,65,148,4,6,248,4,2,0,1
13,66,164,4,7,264,4,3,0,1
13,67,12,7,4,22,8,-3,1,1
13,68,140,7,7,240,7,0,0,1
13,69,180,6,3,280,6,-3,0,1
13,7,166,4,2,266,5,-2,1,1
13,70,168,4,6,268,4,2,0,1
13,71,132,7,7,232,7,0,0,1
13,72,133,5,0,233,5,-5,0,1
13,73,150,4,6,250,4,2,0,1
13,74,138,6,4,238,4,-2,-2,1
13,75,171,4,6,271,5,2,1,1
13,76,125,5,0,225,6,-5,1,1
13,77,14,5,2,24,4,-3,-1,1
13,78,176,3,1,276,4,-2,1,1
13,79,158,7,5,258,8,-2,1,1
13,8,155,4,6,255,4,2,0,1
13,80,15,5,5,25,3,0,-2,1
13,81,123,4,1,223,4,-3,0,1
13,9,118,4,4,218,3,0,-1,1
14,10,117,6,0,217,6,-6,0,1
14,11,130,7,7,230,5,0,-2,1
14,12,143,2,5,243,1,3,-1,1
14,13,176,2,5,276,2,3,0,1
14,14,142,4,4,242,3,0,-1,1
14,15,152,5,8,252,3,3,-2,1
14,16,111,4,1,211,6,-3,2,1
14,17,164,4,7,264,6,3,2,1
14,18,140,8,5,240,6,-3,-2,1
14,19,141,3,0,241,2,-3,-1,1
14,2,158,5,3,258,5,-2,0,1
14,20,135,7,7,235,7,0,0,1
14,21,163,3,3,263,2,0,-1,1
14,22,132,2,4,232,3,2,1,1
14,23,110,5,8,210,4,3,-1,1
14,24,139,7,7,239,6,0,-1,1
14,25,16,5,7,26,3,2,-2,1
14,26,173,6,0,273,7,-6,1,1
14,27,145,5,2,245,4,-3,-1,1
14,28,11,3,0,21,5,-3,2,1
14,29,13,7,7,23,6,0,-1,1
14,3,161,3,5,261,2,2,-1,1
14,30,120,3,6,220,6,3,3,1
14,31,177,2,4,277,6,2,4,1
14,32,179,3,6,279,3,3,0,1
14,33,133,5,0,233,2,-5,-3,1
14,34,153,2,5,253,1,3,-1,1
14,35,125,6,0,225,6,-6,0,1
14,36,17,3,3,27,1,0,-2,1
14,37,149,4,0,249,4,-4,0,1
14,38,166,2,2,266,2,0,0,1
