Education,Year,ID,Framing,BotStrategy,Trial,Decision,BotDecision,Payoff
Nordic,2019,ley9qo2o,Human,WSLS,6,1,1,1
Nordic,2019,ley9qo2o,Human,WSLS,7,0,0,1
Nordic,2019,ley9qo2o,Human,WSLS,8,1,1,1
Nordic,2019,ley9qo2o,Human,WSLS,9,1,0,-1
English,2019,nn2yqgze,Human,WSLS,1,0,1,-1
English,2019,nn2yqgze,Human,WSLS,10,1,1,1
English,2019,nn2yqgze,Human,WSLS,11,0,0,1
English,2019,nn2yqgze,Human,WSLS,12,1,1,1
English,2019,nn2yqgze,Human,RS,13,1,0,-1
English,2019,nn2yqgze,Human,RS,14,1,0,-1
English,2019,nn2yqgze,Human,RS,15,0,1,-1
English,2019,nn2yqgze,Human,RS,16,1,0,-1
English,2019,nn2yqgze,Human,RS,17,0,1,-1
English,2019,nn2yqgze,Human,RS,18,0,1,-1
English,2019,nn2yqgze,Human,RS,19,1,0,-1
English,2019,nn2yqgze,Human,WSLS,2,1,1,1
English,2019,nn2yqgze,Human,RS,20,1,0,-1
English,2019,nn2yqgze,Human,RS,21,0,1,-1
English,2019,nn2yqgze,Human,RS,22,0,1,-1
English,2019,nn2yqgze,Human,RS,23,1,0,-1
English,2019,nn2yqgze,Human,RS,24,0,1,-1
English,2019,nn2yqgze,Human,WSLS,3,1,0,-1
English,2019,nn2yqgze,Human,WSLS,4,0,0,1
English,2019,nn2yqgze,Human,WSLS,5,0,1,-1
English,2019,nn2yqgze,Human,WSLS,6,1,1,1
English,2019,nn2yqgze,Human,WSLS,7,0,0,1
English,2019,nn2yqgze,Human,WSLS,8,1,1,1
English,2019,nn2yqgze,Human,WSLS,9,0,0,1
Nordic,2019,tvnbqxkv,Human,WSLS,1,0,1,-1
Nordic,2019,tvnbqxkv,Human,WSLS,10,0,1,-1
Nordic,2019,tvnbqxkv,Human,WSLS,11,0,1,-1
Nordic,2019,tvnbqxkv,Human,WSLS,12,1,1,1
Nordic,2019,tvnbqxkv,Human,RS,13,1,0,-1
Nordic,2019,tvnbqxkv,Human,RS,14,0,1,-1
Nordic,2019,tvnbqxkv,Human,RS,15,1,0,-1
Nordic,2019,tvnbqxkv,Human,RS,16,1,0,-1
Nordic,2019,tvnbqxkv,Human,RS,17,0,1,-1
Nordic,2019,tvnbqxkv,Human,RS,18,0,1,-1
Nordic,2019,tvnbqxkv,Human,RS,19,1,0,-1
Nordic,2019,tvnbqxkv,Human,WSLS,2,0,1,-1
Nordic,2019,tvnbqxkv,Human,RS,20,0,1,-1
Nordic,2019,tvnbqxkv,Human,RS,21,1,0,-1
Nordic,2019,tvnbqxkv,Human,RS,22,0,1,-1
Nordic,2019,tvnbqxkv,Human,RS,23,1,0,-1
Nordic,2019,tvnbqxkv,Human,RS,24,1,0,-1
Nordic,2019,tvnbqxkv,Human,WSLS,3,0,1,-1
Nordic,2019,tvnbqxkv,Human,WSLS,4,0,1,-1
Nordic,2019,tvnbqxkv,Human,WSLS,5,0,1,-1
Nordic,2019,tvnbqxkv,Human,WSLS,6,0,1,-1
Nordic,2019,tvnbqxkv,Human,WSLS,7,1,1,1
Nordic,2019,tvnbqxkv,Human,WSLS,8,1,0,-1
Nordic,2019,tvnbqxkv,Human,WSLS,9,0,0,1
Information,2019,1lzl25tt,Human,WSLS,1,0,0,1
Information,2019,1lzl25tt,Human,WSLS,10,0,1,-1
Information,2019,1lzl25tt,Human,WSLS,11,1,1,1
Information,2019,1lzl25tt,Human,WSLS,12,1,0,-1
Information,2019,1lzl25tt,Human,RS,13,1,0,-1
Information,2019,1lzl25tt,Human,RS,14,0,1,-1
Information,2019,1lzl25tt,Human,RS,15,0,1,-1
Information,2019,1lzl25tt,Human,RS,16,1,0,-1
Information,2019,1lzl25tt,Human,RS,17,0,1,-1
Information,2019,1lzl25tt,Human,RS,18,1,0,-1
Information,2019,1lzl25tt,Human,RS,19,1,0,-1
Information,2019,1lzl25tt,Human,WSLS,2,1,1,1
Information,2019,1lzl25tt,Human,RS,20,0,1,-1
Information,2019,1lzl25tt,Human,RS,21,1,0,-1
Information,2019,1lzl25tt,Human,RS,22,0,1,-1
Information,2019,1lzl25tt,Human,RS,23,1,0,-1
Information,2019,1lzl25tt,Human,RS,24,1,0,-1
Information,2019,1lzl25tt,Human,WSLS,3,1,0,-1
Information,2019,1lzl25tt,Human,WSLS,4,1,0,-1
Information,2019,1lzl25tt,Human,WSLS,5,0,0,1
Information,2019,1lzl25tt,Human,WSLS,6,0,1,-1
